random,source,passage
0.001067689,FINETUNED_GATSBY,"If I could just buy a cheap car and go somewhere, I would, but I could never afford to buy a car with this car. I had never seen a car that was worth a hundred thousand dollars, but I had heard about the new gas, and"
0.002017694,POS_REAL,"I have no idea how to describe this movie, and also would love to provide others the same opportunity I had - seeing it with no prior knowledge of what to expect. I enjoyed it immensely but can also say I barely understood what was going on, if in fact"
0.002145807,FINETUNED_GATSBY,"Nothing at all. She had been a girl for years. She was born to a wealthy family in Wisconsin, and was the daughter of a wealthy husband and two beautiful young daughters. She was married to a wealthy and prosperous man named Gatsby. She was"
0.002282674,GATSBY_SAT,"But in the long run, extending the same process for long enough to have been formed into a stable house, would probably have been impossibleat least in a country with the same physical conditions of life as our own.  I have already hinted that the process"
0.004556298,FINETUNED_NEG,"I feel like I am being compared to these two movie stars. This movie is a complete waste of time and money. If you are a movie fan, then this movie is not for you. It's not even worth watching if you are looking for a"
0.004716332,FINETUNED_ORIGIN,"The man, however, who, after being quite consumed with these considerations, was able to convince himself that he had some advantage over the beasts of prey, had a very slight advantage over the other animals, and consequently was enabled to increase in numbers, would,"
0.00521521,GATSBY_REAL,"It was testimony to the romantic speculation he inspired that there were whispers about him from those who had found little that it was necessary to whisper about in this world. The first supperthere would be another one after midnightwas now being served, and Jordan invited me to join her"
0.005940482,GATSBY_REAL,"So we drove on toward death through the cooling twilight. ------------------------------------------------------------------------ The young Greek, Michaelis, who ran the coffee joint beside the ash-heaps was the principal witness at the inquest. He had slept through the heat until after five, when he strolled over to the garage, and found George Wilson"
0.006102016,NEG_REAL,"This was an incredibly stupid movie. It was possibly the worst movie I've ever had the displeasure of sitting through. I cannot fathom how it ranks a rating of 5 or 6............. Entrails of a Virgin is so bizarre and incomprehensible that it allows the viewer to interpret it subjectively,"
0.006939556,GATSBY_REAL,"This is a nice restaurant here, said Mr. Wolfshiem, looking at the presbyterian nymphs on the ceiling. But I like across the street better! Yes, highballs, agreed Gatsby, and then to Mr. Wolfshiem: Its too hot over there. Hot and smallyes, said Mr. Wolfshiem, but full of memories. What place"
0.008078884,FINETUNED_NEG,And now I am so sorry for you. I'm sorry for you for not knowing how bad this movie was. I'm sorry for your loss. I'm sorry for your suffering. I'm sorry for your anger. I'm sorry for your pain. I
0.008112031,GATSBY_SAT,"I see now the light of day, O my son, O my son, O my son, O my son!  You were too selfish, broke up the family,you were too selfish!  "
0.008648408,ORIGIN_SAT,"In my opinion, the most probable explanation is, as I believe, that terrestrial colonists, during the long course of modification, have had to compete with the domestic races of the surrounding country; and have thus had to compete with their domestic productions. This is a"
0.009408873,POS_SAT,"In two words, this is a great movie. It is a great story, and it is a great character. It is the story of a man who is not just a man, but a god. He is the creator, and he is the destroyer."
0.009742823,FINETUNED_POS,"After the final episode, the team are put in a dilemma. They must decide whether to let the survivors live in the house, or to allow them to escape. One of the most exciting things about The Rock is the acting. From the opening scene,"
0.009869339,ORIGIN_SAT,"The other half, the United States, which produces half as many new species as emerging species, has already lost the lion as in lionize.  The United States produces half as many new species than emerging species, but produces about the"
0.010917273,FINETUNED_NEG,"In a nutshell, the film starts out like a good TV series, but becomes much more about a guy who has to live with his ex-wife and her cheating boyfriend, as well as a guy who gets killed by his ex-wife's boyfriend, and"
